Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,DNK,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3489.614796,3583.955723,3535.098014,3727.834179,3597.17296,3487.631914,3728.171039,3622.596833,3501.513847,3329.211067,3510.79685,3230.188031,3091.58158,3125.33776,2872.573547,2816.614565,,,,,,,
Dominican Republic,DOM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,845.3179571,807.6894327,844.8281606,788.4264223,703.357478,754.4926396,771.0891272,774.3970936,766.7155171,742.6588617,770.2823976,774.327105,807.2643064,751.5542651,743.2453343,,,,,,,,
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,877.1719073,866.9471172,914.9150398,959.2505064,957.5983047,983.6821598,1038.274621,1083.99416,1078.204336,1158.182354,1117.980489,1144.32285,1233.616948,1252.074795,1333.136069,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,842.4228798,864.6398593,910.9053668,1008.362042,1121.869767,1212.722743,1296.869475,1377.330136,1412.330235,1487.678278,1618.754852,1698.744238,1749.982767,1794.95448,1866.715607,,,,,,,,
Early-demographic dividend,EAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,698.3869549,699.5328878,707.84183,715.3377168,738.0186129,755.3598425,778.733869,793.8137232,815.7907426,832.8355846,850.6824892,851.3195659,876.1833222,871.6621882,887.3121218,,,,,,,,
East Asia & Pacific,EAS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1214.826316,1230.403611,1274.554259,1362.546497,1475.585559,1549.834582,1627.605855,1702.231296,1725.584627,1777.765797,1920.142698,1977.308953,2015.060211,2054.578318,2124.827895,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2759.781572,2766.88037,2799.043374,2910.228957,2947.637756,2953.352033,3050.135825,3086.075792,3121.862433,2881.667598,3070.93489,3199.671939,3226.325151,3151.883763,3205.803482,,,,,,,,
Europe & Central Asia,ECS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3192.923887,3240.006668,3242.92429,3327.258575,3356.123088,3355.622711,3398.779882,3370.841163,3376.401579,3154.105799,3304.201008,3275.160708,3270.164481,3217.385553,3157.247082,,,,,,,,
Ecuador,ECU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,698.1917485,728.269955,698.4728103,696.5725758,661.1168877,678.1055093,669.5001899,744.5180217,674.289224,789.7747275,785.1781754,817.914718,794.6404658,843.1454732,888.6219659,,,,,,,,
"Egypt, Arab Rep.",EGY,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,568.6839615,625.6477435,632.033636,642.5693047,680.6038335,777.4377615,805.6251874,846.2646631,862.0372838,864.941786,831.4235734,853.4989003,857.7652398,803.4316689,782.7631118,,,,,,,,
