Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,DJI,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,366.7,366.7,399.703,421.705,407.037,414.371,410.704,462.042,498.712,458.375,517.047,473.043,480.377,498.712,528.048,539.049,531.715,,,,,,
Dominica,DMA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,102.676,110.01,102.676,117.344,143.013,143.013,143.013,183.35,165.015,161.348,172.349,154.014,165.015,168.682,176.016,176.016,179.683,,,,,,
Denmark,DNK,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,24381.883,24722.914,23831.833,22332.03,21917.659,21330.939,21800.315,21701.306,21363.942,19413.098,20205.17,18797.042,18034.306,17099.221,16472.164,16593.175,16846.198,,,,,,
Dominican Republic,DOM,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,18290.996,17909.628,19193.078,16688.517,14686.335,15515.077,15441.737,16189.805,15573.749,15247.386,15628.754,15573.749,15925.781,14873.352,14440.646,16633.512,17891.293,,,,,,
Algeria,DZA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,30890.808,28481.589,29519.35,31968.906,32845.319,31077.825,35261.872,38353.153,37392.399,44928.084,45401.127,46959.602,48580.416,51961.39,52900.142,55562.384,53519.865,,,,,,
East Asia & Pacific (excluding high income),EAP,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1046836.367,1058532.391,1062067.972,1151177.479,1296007.93,1304720.859,1317647.238,1345131.837,1401006.798,1407596.501,1587975.411,1630157.578,1697367.415,1781790.422,1813180.437,1877702.32,1904453.508,,,,,,
Early-demographic dividend,EAR,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1921045.958,1930653.498,1915626.132,1981793.48,2041627.919,2042166.968,2119551.669,2140563.579,2287951.31,2395794.113,2381859.513,2379919.67,2518832.964,2527501.752,2649414.834,2710404.378,2654475.294,,,,,,
East Asia & Pacific,EAS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2202694.474,2158298.564,2166559.292,2232977.639,2363151.437,2359116.746,2317442.058,2339266.067,2366782.659,2336848.921,2537681.159,2576619.594,2656517.476,2717452.311,2713542.329,2769782.252,2778999.686,,,,,,
Europe & Central Asia (excluding high income),ECA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,575381.7291,573449.9557,573646.1514,582791.8912,593277.0441,580546.9592,601291.6864,605214.7285,622502.586,599594.837,596745.578,646044.726,645325.994,623654.024,637647.296,630540.65,671746.729,,,,,,
Europe & Central Asia,ECS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,2273233.773,2326912.78,2312200.071,2323942.122,2327156.943,2307427.781,2316737.712,2256545.286,2276640.053,2173319.332,2144583.428,2131950.648,2071526.296,2024913.539,2024410.431,2163011.003,2233132.66,,,,,,
Ecuador,ECU,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,17341.243,19666.121,21250.265,22893.081,24678.91,26024.699,24565.233,27348.486,28866.624,30817.468,31231.839,30073.067,25830.348,34389.126,38177.137,36365.639,34257.114,,,,,,
"Egypt, Arab Rep.",EGY,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,85389.762,66486.377,57179.531,73354.668,75697.881,79276.873,83757.947,84832.378,92481.74,98799.981,94333.575,101069.854,97780.555,97292.844,118612.782,112114.858,114876.109,,,,,,
Euro area,EMU,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,586.72,608.722,583.053,693.063,748.068,744.401,528.048,542.716,385.035,480.377,480.377,498.712,531.715,539.049,568.385,594.054,612.389,,,,,,
Spain,ESP,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,160867.623,167075.854,168025.607,173592.113,179297.965,181901.535,181505.499,182616.6,174552.867,161872.381,155506.469,145832.923,133093.765,128627.359,129038.063,136577.415,140244.415,,,,,,
Estonia,EST,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1767.494,2251.538,2093.857,2130.527,2024.184,1965.512,1910.507,1888.505,1763.827,1331.121,1386.126,1283.45,1235.779,1026.76,817.741,491.378,1004.758,,,,,,
Ethiopia,ETH,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,3109.616,3905.355,4074.037,4422.402,4638.755,4338.061,4642.422,5214.474,5676.516,5720.52,5577.507,5647.18,6153.226,7396.339,8654.12,8885.141,9556.202,,,,,,
European Union,EUU,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1454141.516,1511196.369,1501306.47,1498427.875,1492395.66,1479788.514,1469509.913,1417493.518,1413833.852,1338322.988,1319547.948,1273226.404,1213208.615,1188324.353,1175907.891,1263786.924,1291006.254,,,,,,
Fragile and conflict affected situations,FCS,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,329192.6933,360645.8954,378347.3274,409247.8222,376371.498,388388.9726,369350.8406,328944.2058,390069.3509,397659.7942,444070.3536,450807.6075,464429.217,474652.813,487821.01,446413.246,465837.345,,,,,,
Finland,FIN,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,23868.503,23677.819,26347.395,27128.466,28356.911,26589.417,27590.508,26365.73,26116.374,24660.575,25441.646,25078.613,23476.134,19882.474,23633.815,20938.57,22856.411,,,,,,
Fiji,FJI,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,748.068,971.755,792.072,946.086,1294.451,1026.76,1147.771,1085.432,825.075,737.067,1136.77,1004.758,986.423,1246.78,1551.141,2053.52,1936.176,,,,,,
France,FRA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,214680.848,234497.316,229081.157,227533.683,230269.265,227973.723,224772.432,219095.916,216129.313,212667.665,201538.32,198696.395,194105.311,189268.538,185605.205,,,,,,,,
Faroe Islands,FRO,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,689.396,762.736,726.066,733.4,748.068,722.399,678.395,689.396,630.724,575.719,630.724,568.385,590.387,678.395,597.721,608.722,630.724,,,,,,
